id,name,address,latitude,longitude,total
1,Olympic Village Station,"Olympic Village Station, Vancouver, BC",49.26718285,-123.1146517,5
2,Broadway-City Hall Station,"Broadway-City Hall Station, Vancouver, BC V5Z 2V2",49.26284303,-123.1143954,5
3,Vcc-Clark Station,"Vcc-Clark Station, Vancouver, BC V5T 0B1",49.26638352,-123.0792845,5
4,Renfrew Station,"Renfrew Station, Vancouver, BC V5M",49.25920891,-123.0452189,5
5,29th Avenue Station,"29th Avenue Station, Vancouver, BC V5R 5Z5",49.24502171,-123.0450746,5
6,Oakridge - 41st Avenue Station,"Oakridge - 41st Avenue Station, BC V5Z 4H2",49.23332435,-123.1159535,5
